OrderID,CustomerID,OrderDate,ShipDate,ShipMode,Country,Region,City,Segment,Category,Sub-Category,Sales,Quantity,Discount,Profit
59,391,2023-03-12,2023-09-23,Same Day,India,East,Mumbai,Consumer,Furniture,Chairs,965.52,9,0.07,875.43
60,458,2023-01-08,2023-04-30,First Class,India,East,Kolkata,Corporate,Office Supplies,Phones,3997.69,4,0.27,183.17
61,335,2023-04-23,2023-09-13,Second Class,India,South,Chennai,Corporate,Office Supplies,Tables,4942.04,5,0.19,-36.23
62,177,2023-01-09,2023-11-06,Same Day,India,North,Delhi,Home Office,Office Supplies,Accessories,767.94,3,0.04,449.44
63,297,2023-03-30,2023-06-21,First Class,India,East,Chennai,Home Office,Furniture,Tables,2721.15,2,0.5,884.2
64,270,2023-06-15,2023-06-24,Second Class,India,North,Kolkata,Corporate,Office Supplies,Phones,778.06,6,0.01,493.03
65,1,2023-03-17,2024-01-08,Standard Class,India,North,Hyderabad,Corporate,Office Supplies,Phones,990.46,3,0.43,931.31
66,216,2023-06-04,2023-11-02,First Class,India,South,Mumbai,Corporate,Furniture,Chairs,1579.44,3,0.17,963.84
67,374,2023-02-16,2023-08-13,First Class,India,South,Hyderabad,Consumer,Office Supplies,Chairs,3353.97,6,0.24,995.99
68,385,2023-11-14,2023-11-25,Same Day,India,North,Bengaluru,Corporate,Office Supplies,Chairs,597.51,5,0.22,455.65
69,111,2023-12-08,2023-12-24,First Class,India,South,Bengaluru,Consumer,Office Supplies,Chairs,343.27,8,0.34,717.55
70,343,2023-10-09,2023-10-29,Second Class,India,South,Chennai,Consumer,Furniture,Tables,1989.32,1,0.37,636.28
71,485,2023-10-03,2023-12-21,First Class,India,South,Pune,Corporate,Technology,Phones,4557.49,9,0.42,648.12
72,395,2023-10-04,2023-11-22,Same Day,India,South,Chennai,Home Office,Office Supplies,Tables,4931.5,4,0.16,706.19
73,129,2023-07-01,2023-09-11,Same Day,India,West,Bengaluru,Corporate,Furniture,Binders,4758.2,7,0.48,739.85
74,194,2023-07-01,2023-10-15,Same Day,India,South,Bengaluru,Home Office,Office Supplies,Tables,410.26,1,0.44,735.87
75,440,2023-05-27,2023-09-26,Second Class,India,South,Mumbai,Corporate,Technology,Accessories,4073.19,4,0.36,735.87
76,28,2023-03-26,2023-07-20,Standard Class,India,West,Pune,Corporate,Office Supplies,Chairs,2484.43,8,0.04,500.97
77,197,2023-07-28,2024-01-02,First Class,India,North,Chennai,Consumer,Furniture,Accessories,372.61,7,0.3,280.97
78,190,2023-10-02,2023-12-26,Second Class,India,West,Delhi,Corporate,Office Supplies,Tables,2823.05,10,0.5,794.91
79,454,2023-12-21,2024-01-02,Standard Class,India,West,Mumbai,Home Office,Furniture,Phones,4178.86,4,0.01,214.32
80,376,2023-02-12,2023-05-31,Second Class,India,East,Hyderabad,Home Office,Office Supplies,Chairs,2075.46,5,0.07,85.27
81,327,2023-09-01,2023-12-03,Standard Class,India,West,Kolkata,Corporate,Office Supplies,Phones,1792.98,9,0.09,193.53
82,475,2023-01-12,2023-11-12,Same Day,India,West,Delhi,Home Office,Technology,Chairs,1073.14,2,0.32,-23.66
83,493,2023-09-14,2023-12-07,First Class,India,West,Bengaluru,Home Office,Office Supplies,Tables,3828.86,1,0.45,-53.56
84,88,2023-05-01,2024-01-04,Second Class,India,South,Bengaluru,Corporate,Furniture,Tables,723.21,1,0.21,256.3
85,148,2023-05-07,2023-08-30,Same Day,India,South,Delhi,Home Office,Office Supplies,Tables,2602.96,1,0.31,726.66
86,262,2023-03-16,2023-10-30,Same Day,India,East,Kolkata,Corporate,Furniture,Tables,4886.96,6,0.32,839.39
87,254,2023-12-20,2023-12-26,First Class,India,East,Bengaluru,Home Office,Technology,Phones,3480.69,1,0.46,56.14
88,400,2023-03-02,2023-09-30,Second Class,India,North,Kolkata,Home Office,Office Supplies,Binders,2581.27,6,0.37,-51.89
89,63,2023-04-08,2023-09-23,Standard Class,India,North,Bengaluru,Home Office,Office Supplies,Binders,1537.48,4,0.21,223.12
90,177,2023-10-14,2023-12-30,Same Day,India,East,Hyderabad,Consumer,Technology,Phones,341.72,2,0.06,954.12
91,393,2023-09-19,2023-11-14,Standard Class,India,North,Mumbai,Corporate,Furniture,Tables,2386.46,10,0.47,674.11
92,5,2023-11-26,2023-12-09,First Class,India,East,Bengaluru,Consumer,Office Supplies,Phones,1977.46,3,0.26,230.77
93,321,2023-07-27,2023-09-08,Second Class,India,East,Bengaluru,Home Office,Technology,Tables,3326.37,2,0.47,-28.03
94,146,2023-12-25,2024-01-06,Second Class,India,South,Pune,Consumer,Furniture,Binders,155.31,3,0.09,404.0
95,12,2023-11-27,2023-11-30,First Class,India,North,Kolkata,Home Office,Technology,Phones,1870.93,3,0.04,733.84
96,232,2023-04-29,2023-06-07,Standard Class,India,North,Bengaluru,Home Office,Technology,Binders,4034.61,2,0.44,463.26
97,139,2023-10-29,2023-12-03,First Class,India,West,Mumbai,Consumer,Office Supplies,Chairs,794.19,10,0.15,111.12
98,482,2023-03-12,2023-04-26,Same Day,India,West,Bengaluru,Corporate,Furniture,Chairs,4031.44,4,0.13,133.38
99,274,2023-08-25,2023-10-14,Standard Class,India,East,Kolkata,Consumer,Furniture,Chairs,3901.01,4,0.25,-83.55
100,222,2023-02-12,2024-01-02,Second Class,India,North,Delhi,Consumer,Furniture,Accessories,2613.23,4,0.09,734.87
101,105,2023-11-05,2023-11-27,First Class,India,West,Kolkata,Home Office,Office Supplies,Phones,3032.0,8,0.13,432.67
102,225,2023-09-23,2023-10-22,Second Class,India,North,Chennai,Home Office,Technology,Tables,3724.89,7,0.08,71.22
103,66,2023-11-07,2023-11-17,Same Day,India,East,Hyderabad,Consumer,Furniture,Chairs,4339.8,10,0.46,876.58
104,138,2023-06-27,2023-07-31,First Class,India,South,Hyderabad,Corporate,Office Supplies,Phones,977.56,9,0.42,217.32
105,486,2023-04-06,2023-11-03,Second Class,India,South,Delhi,Corporate,Furniture,Phones,3219.17,6,0.25,211.13
106,448,2023-10-16,2023-11-03,First Class,India,North,Chennai,Home Office,Office Supplies,Phones,4867.79,1,0.12,234.16
107,129,2023-07-20,2023-12-01,Same Day,India,North,Mumbai,Consumer,Office Supplies,Binders,4210.48,3,0.44,375.82
108,315,2023-06-25,2023-11-07,Same Day,India,North,Delhi,Consumer,Office Supplies,Tables,3102.68,8,0.1,260.07
109,462,2023-09-18,2023-10-04,First Class,India,South,Pune,Home Office,Office Supplies,Binders,3868.17,8,0.49,79.45
110,57,2023-08-29,2023-09-02,Second Class,India,West,Chennai,Consumer,Technology,Tables,4096.52,1,0.14,193.98
111,60,2023-04-19,2023-10-02,First Class,India,West,Kolkata,Consumer,Furniture,Phones,2874.95,2,0.24,-4.17
112,344,2023-01-20,2023-01-23,Standard Class,India,North,Mumbai,Home Office,Technology,Chairs,85.14,6,0.12,10.64
113,99,2023-11-12,2023-12-28,Standard Class,India,West,Hyderabad,Corporate,Furniture,Tables,265.86,3,0.37,837.97
114,351,2023-03-10,2023-10-01,Standard Class,India,East,Hyderabad,Corporate,Technology,Chairs,3689.35,8,0.43,-21.25
115,176,2023-03-01,2023-06-07,First Class,India,East,Pune,Corporate,Furniture,Accessories,841.29,5,0.32,26.63
116,281,2023-11-13,2024-01-03,First Class,India,East,Hyderabad,Corporate,Office Supplies,Chairs,3180.91,9,0.21,821.38
117,369,2023-02-13,2023-10-03,First Class,India,South,Pune,Corporate,Office Supplies,Accessories,824.54,2,0.28,294.4
118,388,2023-08-21,2023-10-28,Second Class,India,North,Bengaluru,Consumer,Furniture,Chairs,1590.82,2,0.1,-57.79
119,442,2023-08-08,2023-12-04,Same Day,India,North,Bengaluru,Corporate,Furniture,Accessories,3625.67,2,0.33,-81.13
120,200,2023-12-30,2024-01-06,Second Class,India,West,Kolkata,Consumer,Furniture,Phones,2471.36,6,0.11,967.28
121,395,2023-12-28,2024-01-07,Same Day,India,South,Mumbai,Home Office,Technology,Accessories,3140.11,4,0.33,156.31
122,138,2023-01-30,2024-01-04,First Class,India,South,Pune,Home Office,Furniture,Tables,1703.58,6,0.48,201.0
123,483,2023-05-27,2023-12-31,Same Day,India,South,Hyderabad,Consumer,Office Supplies,Phones,675.49,8,0.06,-40.09
124,165,2023-08-16,2024-01-02,Standard Class,India,North,Mumbai,Consumer,Furniture,Chairs,4733.18,8,0.12,39.36
125,119,2023-10-12,2023-11-20,Second Class,India,East,Chennai,Home Office,Office Supplies,Phones,2832.26,6,0.2,-7.45
126,15,2023-06-17,2023-07-29,Same Day,India,South,Mumbai,Consumer,Furniture,Phones,3419.51,8,0.22,910.07
127,44,2023-09-13,2023-12-19,Same Day,India,North,Mumbai,Corporate,Furniture,Accessories,2149.12,9,0.4,381.77
128,395,2023-07-13,2023-12-16,Second Class,India,South,Chennai,Consumer,Office Supplies,Tables,819.43,6,0.41,-35.95
129,63,2023-05-09,2023-08-29,Same Day,India,East,Kolkata,Home Office,Technology,Phones,1885.58,4,0.03,-72.01
130,446,2023-06-14,2023-12-25,Second Class,India,East,Bengaluru,Corporate,Office Supplies,Accessories,764.09,4,0.02,832.12
131,217,2023-12-23,2024-01-02,Same Day,India,North,Kolkata,Consumer,Technology,Chairs,707.81,9,0.29,777.13
132,55,2023-03-15,2023-07-15,First Class,India,West,Kolkata,Consumer,Office Supplies,Chairs,936.58,2,0.29,278.47
133,484,2023-01-01,2023-09-10,First Class,India,East,Bengaluru,Corporate,Technology,Chairs,3946.18,1,0.19,323.1
134,27,2023-05-15,2023-10-01,Same Day,India,West,Mumbai,Corporate,Office Supplies,Chairs,1398.51,4,0.22,519.72
135,96,2023-11-29,2023-12-05,Same Day,India,East,Hyderabad,Consumer,Technology,Accessories,1382.76,10,0.36,851.67
136,126,2023-04-13,2023-10-10,First Class,India,West,Kolkata,Corporate,Technology,Binders,2602.93,9,0.45,672.2
137,453,2023-06-26,2023-10-29,First Class,India,East,Mumbai,Corporate,Furniture,Binders,3065.75,4,0.35,887.77
138,165,2023-06-02,2023-10-28,First Class,India,South,Bengaluru,Home Office,Technology,Binders,2664.88,10,0.45,502.57
139,333,2023-07-26,2023-12-23,Second Class,India,West,Mumbai,Home Office,Technology,Phones,584.28,9,0.22,641.99
140,347,2023-06-26,2023-11-20,Standard Class,India,West,Bengaluru,Consumer,Office Supplies,Accessories,684.06,8,0.25,64.3
141,87,2023-07-24,2023-10-20,Same Day,India,South,Kolkata,Corporate,Office Supplies,Binders,304.53,9,0.42,977.12
142,190,2023-06-15,2023-07-05,Second Class,India,North,Pune,Home Office,Technology,Tables,3749.98,1,0.23,28.86
143,5,2023-09-01,2023-10-23,Second Class,India,West,Bengaluru,Consumer,Furniture,Phones,724.37,2,0.24,282.55
144,157,2023-05-19,2023-12-09,Second Class,India,North,Kolkata,Corporate,Furniture,Binders,4905.49,7,0.14,-28.84
145,392,2023-03-13,2023-05-30,Same Day,India,East,Mumbai,Home Office,Furniture,Binders,4036.11,7,0.17,-91.96
146,301,2023-09-25,2023-11-08,Second Class,India,West,Hyderabad,Home Office,Office Supplies,Accessories,1875.21,3,0.21,929.88
147,196,2023-02-01,2023-04-13,First Class,India,East,Delhi,Home Office,Office Supplies,Tables,4164.76,4,0.43,838.2
148,237,2023-06-28,2023-08-10,Second Class,India,South,Chennai,Corporate,Office Supplies,Phones,4439.33,3,0.3,560.66
149,276,2023-05-14,2024-01-04,Second Class,India,North,Bengaluru,Consumer,Technology,Chairs,2472.26,10,0.44,365.61
150,169,2023-10-30,2023-12-24,Standard Class,India,East,Bengaluru,Consumer,Technology,Accessories,487.98,6,0.46,629.28
151,196,2023-12-22,2023-12-31,Second Class,India,East,Hyderabad,Consumer,Office Supplies,Tables,2211.63,7,0.16,337.44
152,120,2023-09-18,2023-10-25,Same Day,India,West,Chennai,Home Office,Furniture,Binders,2500.49,9,0.11,860.06
153,495,2023-09-07,2023-11-11,Same Day,India,North,Chennai,Home Office,Office Supplies,Accessories,4726.69,6,0.29,900.79
154,208,2023-11-06,2023-12-30,Standard Class,India,South,Pune,Consumer,Technology,Accessories,1211.07,8,0.41,727.56
155,126,2023-01-08,2023-10-03,Second Class,India,South,Mumbai,Consumer,Technology,Tables,684.2,10,0.32,647.76
156,210,2023-05-25,2023-06-05,Second Class,India,East,Delhi,Corporate,Office Supplies,Accessories,4029.87,3,0.17,478.7
157,13,2023-04-21,2023-09-23,Same Day,India,West,Kolkata,Home Office,Office Supplies,Chairs,4977.05,9,0.07,463.31
158,112,2023-01-06,2023-04-20,Second Class,India,West,Kolkata,Corporate,Office Supplies,Binders,3025.49,3,0.32,20.13
159,387,2023-01-14,2023-11-14,First Class,India,East,Bengaluru,Home Office,Furniture,Tables,1221.85,1,0.05,-27.99
160,354,2023-05-07,2023-11-23,Same Day,India,North,Chennai,Corporate,Technology,Binders,4617.61,10,0.28,276.42
161,274,2023-10-08,2023-11-11,Same Day,India,West,Bengaluru,Home Office,Furniture,Phones,1085.6,5,0.47,817.41
162,114,2023-11-29,2024-01-09,Second Class,India,East,Delhi,Home Office,Technology,Tables,1705.81,6,0.35,444.1
163,244,2023-09-21,2023-11-07,First Class,India,North,Bengaluru,Corporate,Office Supplies,Binders,4648.35,2,0.34,-60.39
164,304,2023-11-18,2023-12-26,Second Class,India,South,Pune,Home Office,Furniture,Accessories,746.96,10,0.22,777.4
165,98,2023-11-20,2024-01-02,Standard Class,India,North,Hyderabad,Corporate,Furniture,Chairs,3617.77,7,0.27,365.85
166,84,2023-09-11,2024-01-04,Standard Class,India,East,Kolkata,Consumer,Office Supplies,Binders,2979.45,4,0.43,286.23
167,154,2023-03-21,2023-11-13,First Class,India,South,Bengaluru,Consumer,Technology,Accessories,3731.74,10,0.08,995.35
168,220,2023-11-24,2023-12-18,Same Day,India,South,Delhi,Home Office,Technology,Binders,1739.22,1,0.11,358.44
169,94,2023-05-02,2023-07-03,Same Day,India,North,Delhi,Home Office,Technology,Chairs,4109.78,10,0.24,-22.43
170,454,2023-06-20,2023-11-26,Same Day,India,West,Pune,Home Office,Technology,Tables,3317.5,6,0.09,-66.58
171,191,2023-05-28,2023-05-31,Second Class,India,East,Mumbai,Consumer,Furniture,Accessories,4172.0,10,0.46,603.9
172,357,2023-09-30,2023-11-27,Same Day,India,East,Kolkata,Corporate,Furniture,Chairs,4258.04,6,0.25,608.65
173,365,2023-07-01,2024-01-07,Same Day,India,South,Chennai,Home Office,Technology,Binders,476.47,10,0.32,142.35
174,264,2023-02-14,2023-07-12,Standard Class,India,South,Bengaluru,Corporate,Furniture,Phones,1192.46,6,0.1,561.73
175,132,2023-08-17,2023-09-10,Standard Class,India,East,Chennai,Consumer,Furniture,Binders,1374.96,1,0.11,648.91
176,228,2023-01-06,2023-08-03,First Class,India,North,Bengaluru,Corporate,Office Supplies,Chairs,1485.46,1,0.13,306.05
177,479,2023-03-01,2023-04-08,First Class,India,West,Delhi,Consumer,Office Supplies,Tables,4530.47,8,0.31,409.48
178,73,2023-08-27,2023-10-28,Same Day,India,East,Hyderabad,Corporate,Office Supplies,Phones,375.91,2,0.35,816.62
179,246,2023-01-12,2023-04-27,Second Class,India,South,Hyderabad,Corporate,Office Supplies,Chairs,543.31,10,0.09,432.29
180,413,2023-01-05,2023-12-03,Second Class,India,East,Bengaluru,Consumer,Office Supplies,Accessories,1248.19,6,0.4,42.94
181,182,2023-11-03,2024-01-03,First Class,India,East,Mumbai,Consumer,Furniture,Chairs,1743.56,8,0.44,958.03
182,496,2023-07-12,2023-10-30,Second Class,India,East,Mumbai,Corporate,Office Supplies,Binders,4784.41,1,0.24,-23.2
183,13,2023-12-30,2024-01-04,First Class,India,East,Pune,Home Office,Technology,Binders,1049.19,5,0.49,655.52
184,228,2023-09-25,2023-10-09,Same Day,India,West,Mumbai,Home Office,Technology,Accessories,3371.97,2,0.3,62.21
185,449,2023-04-16,2023-05-30,Standard Class,India,North,Hyderabad,Corporate,Furniture,Binders,4087.16,8,0.29,433.5
186,235,2023-01-01,2023-09-29,Same Day,India,North,Hyderabad,Consumer,Technology,Binders,4804.38,3,0.2,-46.52
187,204,2023-04-12,2023-08-13,Standard Class,India,East,Hyderabad,Home Office,Office Supplies,Phones,714.98,7,0.39,256.82
188,159,2023-08-20,2023-11-07,First Class,India,South,Kolkata,Corporate,Office Supplies,Tables,2185.47,10,0.24,328.37
189,146,2023-05-24,2023-09-24,Second Class,India,West,Hyderabad,Corporate,Furniture,Chairs,4400.69,8,0.39,487.55
190,307,2023-02-02,2023-03-13,First Class,India,North,Kolkata,Corporate,Technology,Accessories,2765.04,4,0.05,936.83
191,317,2023-01-19,2023-05-13,Standard Class,India,North,Pune,Home Office,Office Supplies,Accessories,1889.15,9,0.11,399.73
192,149,2023-02-01,2023-08-25,Standard Class,India,West,Mumbai,Corporate,Office Supplies,Tables,3929.84,1,0.16,159.49
193,121,2023-05-30,2023-10-04,First Class,India,East,Hyderabad,Corporate,Furniture,Tables,3781.42,3,0.28,10.05
194,267,2023-03-08,2023-09-04,Same Day,India,West,Hyderabad,Consumer,Technology,Accessories,619.23,6,0.23,629.48
195,204,2023-07-13,2023-09-16,First Class,India,North,Hyderabad,Home Office,Technology,Chairs,1346.66,1,0.48,417.9
196,73,2023-06-11,2023-12-08,Second Class,India,East,Chennai,Home Office,Office Supplies,Phones,4289.9,10,0.2,794.47
197,42,2023-10-25,2023-11-14,Standard Class,India,East,Bengaluru,Corporate,Office Supplies,Accessories,2902.89,4,0.14,825.11
198,348,2023-10-25,2023-12-19,Standard Class,India,North,Delhi,Corporate,Office Supplies,Accessories,4123.93,10,0.46,276.65
199,466,2023-03-29,2023-05-09,First Class,India,South,Chennai,Consumer,Technology,Tables,3879.01,2,0.04,575.79
200,170,2023-08-26,2023-08-26,Same Day,India,South,Chennai,Corporate,Furniture,Chairs,60.08,7,0.1,863.72
201,101,2023-06-05,2023-09-21,Same Day,India,North,Bengaluru,Consumer,Office Supplies,Phones,277.84,7,0.4,0.84
202,203,2023-07-21,2023-10-30,Standard Class,India,North,Mumbai,Corporate,Furniture,Phones,545.74,6,0.06,-84.78
203,356,2023-08-29,2023-08-29,First Class,India,West,Pune,Home Office,Office Supplies,Tables,4877.11,7,0.44,726.11
204,350,2023-04-23,2023-10-25,Second Class,India,West,Hyderabad,Consumer,Furniture,Tables,1583.19,2,0.09,482.08
205,2,2023-01-25,2023-01-25,Second Class,India,West,Chennai,Consumer,Furniture,Tables,2704.34,2,0.2,302.72
206,323,2023-01-26,2023-09-08,Standard Class,India,North,Delhi,Corporate,Technology,Tables,2328.22,4,0.19,767.03
207,487,2023-07-05,2023-11-12,Second Class,India,South,Mumbai,Consumer,Furniture,Binders,3435.46,3,0.26,-45.29
208,4,2023-05-25,2023-09-09,Same Day,India,South,Kolkata,Consumer,Furniture,Accessories,1618.58,4,0.09,319.64
209,303,2023-05-18,2023-07-13,Second Class,India,South,Hyderabad,Home Office,Technology,Chairs,223.0,8,0.39,602.72
210,424,2023-02-18,2023-11-03,Standard Class,India,East,Pune,Home Office,Furniture,Binders,2232.88,4,0.02,632.83
211,390,2023-10-04,2023-10-29,Second Class,India,East,Bengaluru,Home Office,Furniture,Chairs,4235.34,8,0.46,-78.66
212,209,2023-06-21,2024-01-03,Same Day,India,West,Hyderabad,Consumer,Furniture,Chairs,3901.57,8,0.35,993.29
213,324,2023-07-10,2023-10-26,Standard Class,India,West,Pune,Corporate,Technology,Tables,1809.46,6,0.23,775.3
214,116,2023-12-05,2023-12-28,Second Class,India,East,Hyderabad,Consumer,Technology,Chairs,3761.46,2,0.24,75.62
215,35,2023-05-12,2023-07-22,Standard Class,India,East,Chennai,Corporate,Office Supplies,Accessories,457.17,10,0.22,250.11
216,317,2023-10-06,2023-12-21,Same Day,India,North,Chennai,Consumer,Furniture,Chairs,2772.0,10,0.46,321.28
217,59,2023-01-21,2023-06-02,Same Day,India,West,Chennai,Consumer,Office Supplies,Accessories,4188.02,7,0.23,-17.15
218,30,2023-09-10,2023-11-25,First Class,India,South,Kolkata,Consumer,Technology,Tables,1979.25,3,0.24,417.42
219,430,2023-07-30,2023-11-29,Second Class,India,East,Delhi,Consumer,Office Supplies,Tables,554.92,8,0.46,807.75
220,127,2023-12-25,2023-12-26,Second Class,India,East,Mumbai,Home Office,Office Supplies,Accessories,4511.16,5,0.28,408.02
221,484,2023-02-27,2023-03-03,Same Day,India,East,Pune,Consumer,Office Supplies,Phones,2453.13,5,0.21,61.61
